ID,name,Handedness,Height,weight,BattingAvg,HR
994,Jim Fregosi,RightHanded,73,190,0.265,151
1013,Al Ferrara,RightHanded,73,200,0.259,51
1027,Bobby Bonds,RightHanded,73,190,0.268,332
1033,Manny Trillo,RightHanded,73,150,0.263,61
1036,Fred Kendall,RightHanded,73,185,0.234,31
1044,Mark Brouhard,RightHanded,73,210,0.259,25
1047,Chris Speier,RightHanded,73,175,0.246,112
1050,Mike Fischlin,RightHanded,73,165,0.22,3
1051,Don Money,RightHanded,73,170,0.261,176
1083,Ted Savage,RightHanded,73,185,0.233,34
1093,Don Sutton,RightHanded,73,185,0.144,0
1094,Glenn Beckert,RightHanded,73,190,0.283,22
1103,Rick Joseph,RightHanded,73,192,0.243,13
1124,Bobby Wine,RightHanded,73,187,0.215,30
1133,Bill Plummer,RightHanded,73,190,0.188,14
1135,Phil Niekro,RightHanded,73,180,0.169,7
1152,Frank Duffy,RightHanded,73,180,0.232,26
40,Fred Whitfield,LeftHanded,73,190,0.253,108
68,Chris Chambliss,LeftHanded,73,195,0.279,185
69,Tom Satriano,LeftHanded,73,185,0.225,21
105,Gary Thomasson,LeftHanded,73,180,0.249,61
123,Johnny Lewis,LeftHanded,73,189,0.227,22
133,Willie Crawford,LeftHanded,73,197,0.268,86
139,Joe Lahoud,LeftHanded,73,198,0.223,65
155,Tony Oliva,LeftHanded,73,175,0.304,220
